year,day,low,open,high,close,volumn
2016, 0809, 322917, 323260, 325733, 325698, 9106525900
2016, 0810, 324275, 325518, 326186, 324334, 9043037200
2016, 0811, 323261, 323956, 327403, 323336, 10104121300
2016, 0812, 323114, 323181, 329423, 329423, 11625404400
2016, 0815, 330238, 330347, 341792, 339342, 22054342000
2016, 0816, 337202, 340338, 341869, 337825, 19638974000
2016, 0817, 335692, 337777, 339439, 337305, 13884769000
2016, 0818, 334969, 336995, 339479, 336449, 14238017000
2016, 0819, 334119, 335856, 337405, 336502, 11996150800
2016, 0822, 333547, 336468, 337283, 333680, 10795100800
2016, 0823, 332496, 333262, 335965, 334183, 9292451600
2016, 0824, 332373, 334193, 334813, 332986, 8119142900
2016, 0825, 327981, 331409, 331508, 330897, 10058915300
2016, 0826, 330174, 331250, 332895, 330709, 8153069100
2016, 0829, 329707, 330658, 331508, 330778, 7703633300
2016, 0830, 330460, 331032, 332512, 331199, 7572598700
2016, 0831, 330466, 331057, 333397, 332779, 7957080500
2016, 0901, 330121, 332674, 332935, 330158, 8494721900
2016, 0902, 329576, 329872, 332043, 331411, 8279180300
2016, 0905, 331463, 332101, 333842, 331968, 7829247700
2016, 0906, 330013, 332202, 334795, 334263, 9828399800
2016, 0907, 333775, 334407, 335736, 334082, 10294010600
2016, 0908, 332823, 333801, 334340, 333956, 7191615800
2016, 0909, 331804, 333937, 334495, 331804, 8265703600
2016, 0912, 323457, 327187, 327672, 326260, 12291768200
2016, 0913, 324639, 326534, 326922, 326033, 6718028800
2016, 0914, 323134, 324574, 325500, 323873, 7043269700
2016, 0919, 324274, 324274, 326490, 326312, 5883108200
2016, 0920, 325239, 326467, 326504, 325740, 5278420600
2016, 0921, 325432, 325771, 327090, 326664, 5914297900
2016, 0922, 327798, 328147, 330320, 329112, 7575354200
2016, 0923, 327503, 329228, 329392, 327567, 5799398600
2016, 0926, 322028, 326769, 326769, 322028, 7045218600
2016, 0927, 321444, 321487, 324078, 324076, 5846055000
2016, 0928, 322800, 324365, 324365, 323089, 4472749800
2016, 0929, 323480, 323486, 325777, 324439, 5545255600
2016, 0930, 323904, 324018, 326094, 325329, 4497802200
2016, 1010, 325896, 326536, 329464, 329387, 8051926000
2016, 1011, 329288, 329687, 330800, 330656, 8771316300
2016, 1012, 328975, 329914, 330256, 330001, 6866978100
2016, 1013, 329240, 329916, 330741, 330265, 8122419800
2016, 1014, 328573, 329873, 330669, 330585, 8231627100
2016, 1017, 327154, 330596, 330901, 327788, 8611350900
2016, 1018, 327268, 327268, 332133, 332133, 10286071400
2016, 1019, 330983, 332330, 333252, 331624, 10116772500
2016, 1020, 331217, 331718, 332490, 331860, 7923887100
2016, 1021, 330918, 331572, 334156, 332774, 10978517600
2016, 1024, 333097, 333251, 338283, 336758, 15301435000
2016, 1025, 335659, 336748, 337391, 336746, 11119169300
2016, 1026, 334957, 336520, 336783, 335480, 9802478600
2016, 1027, 333513, 335146, 335236, 334570, 7762985100
2016, 1028, 333729, 334714, 337075, 334013, 9313330900
2016, 1031, 331733, 333241, 334047, 333628, 7135286300
2016, 1101, 333446, 333871, 335939, 335905, 7493819900
2016, 1102, 333138, 335071, 335640, 333335, 9119710400
2016, 1103, 332484, 332691, 337999, 336509, 12622350400
2016, 1104, 334843, 336221, 337764, 335418, 10406965500
2016, 1107, 334231, 335344, 336274, 335659, 9987798800
2016, 1108, 336113, 336770, 338392, 337112, 10314828200
2016, 1109, 332208, 337060, 337310, 335306, 13911006000
2016, 1110, 337491, 337491, 340302, 339061, 13470554000
2016, 1111, 338289, 338795, 342267, 341722, 19878150000
2016, 1114, 340814, 340922, 345262, 343025, 21324711000
2016, 1115, 341600, 342887, 343492, 342987, 13456632000
2016, 1116, 341924, 343243, 343564, 342959, 12980851100
2016, 1117, 341288, 342347, 343767, 343654, 12156173100
2016, 1118, 341327, 343749, 344312, 341746, 11595120500
2016, 1121, 341208, 341265, 346314, 344111, 14643453000
2016, 1122, 344322, 344322, 346922, 346836, 16852345000
2016, 1123, 346576, 347390, 349296, 347473, 16238850000
2016, 1124, 346701, 346881, 350817, 348874, 14574630000
2016, 1125, 346395, 349004, 352130, 352130, 15362151000
2016, 1128, 352832, 353868, 355336, 353508, 20737548000
2016, 1129, 352138, 352590, 358372, 356404, 23691836000
2016, 1130, 352702, 355764, 356707, 353800, 17856018000
2016, 1201, 354325, 354396, 357597, 356504, 18017076000
2016, 1202, 351679, 355977, 356255, 352895, 19635548000
2016, 1205, 345734, 347369, 349688, 346941, 18085236000
2016, 1206, 345681, 346624, 347759, 345915, 11552909000
2016, 1207, 344576, 345837, 347575, 347575, 11434510300
2016, 1208, 346651, 348181, 348434, 347014, 11738392200
2016, 1209, 346176, 346487, 350793, 349370, 15030331000
2016, 1212, 340079, 348927, 349580, 340918, 18746775000
2016, 1213, 337060, 339421, 341621, 340504, 12110509700
2016, 1214, 337827, 339941, 341228, 337895, 12400774400
2016, 1215, 332714, 336386, 337804, 334043, 11496066000
2016, 1216, 333049, 333536, 335629, 334603, 9077542200
2016, 1219, 332500, 334234, 334486, 332898, 8164067800
2016, 1220, 328927, 332830, 332910, 330906, 8756959200
2016, 1221, 331375, 331375, 334248, 333854, 10825499500
2016, 1222, 332272, 333512, 334036, 333567, 9227724900
2016, 1223, 330088, 333340, 333489, 330760, 9744471300
2016, 1226, 326705, 329322, 332242, 332240, 8979398200
2016, 1227, 331583, 331921, 333023, 331639, 7548635900
2016, 1228, 329317, 331575, 332055, 330189, 6900043700
2016, 1229, 328810, 329704, 331211, 329776, 7008792300
2016, 1230, 329575, 330260, 331355, 331008, 7174411600
2017, 0103, 331395, 331395, 334526, 334223, 8656789600
2017, 0104, 333815, 334056, 336957, 336831, 9005082700
2017, 0105, 336146, 336834, 337341, 336779, 8833635700
2017, 0106, 334689, 336685, 336887, 334767, 8745911400
2017, 0109, 334435, 334575, 336622, 336390, 8370794200
2017, 0110, 335409, 336164, 337051, 335827, 8381916000
2017, 0111, 333430, 335580, 336663, 333450, 9107143800
2017, 0112, 331596, 333269, 334313, 331762, 8123913500
2017, 0113, 330937, 331796, 333817, 331991, 8418058900
2017, 0116, 326421, 331415, 332278, 331945, 15777914000
2017, 0117, 329220, 330560, 332738, 332636, 6945332800
2017, 0118, 332041, 332334, 335096, 333937, 7062322700
2017, 0119, 332468, 333095, 334650, 332929, 6615980800
2017, 0120, 332637, 332698, 335841, 335489, 6530046200
2017, 0123, 335585, 335905, 337874, 336408, 7555749800
2017, 0124, 335590, 336314, 337132, 336445, 6619422600
2017, 0125, 335722, 336166, 337644, 337590, 5837693100
2017, 0126, 337826, 337826, 339588, 338796, 6531664700
2017, 0203, 336257, 339093, 339248, 336449, 5518886100
2017, 0206, 335875, 336811, 338133, 337321, 6852136000
2017, 0207, 335463, 337177, 337671, 336568, 6375446200
2017, 0208, 334743, 336178, 338369, 338329, 7540287900
2017, 0209, 337979, 338190, 340659, 339629, 9755851500
2017, 0210, 339803, 339832, 342233, 341349, 12376872000
2017, 0213, 341687, 341692, 343954, 343628, 12014453800
2017, 0214, 342440, 343851, 344067, 343580, 9480946500
2017, 0215, 341708, 343539, 344803, 342171, 12764333800
2017, 0216, 341835, 342183, 344093, 344093, 10827696200
2017, 0217, 341961, 344362, 345756, 342144, 11460003600
2017, 0220, 342164, 342164, 347260, 347139, 13262886200
2017, 0221, 347202, 347506, 349009, 348282, 11484200900
2017, 0222, 347352, 348320, 348995, 348976, 10281599400
2017, 0223, 346012, 348757, 349296, 347332, 9953633000
2017, 0224, 345525, 346896, 347385, 347385, 9553513300
2017, 0227, 344139, 347113, 347284, 344622, 9867216000
2017, 0228, 344136, 344503, 346091, 345281, 7521526000
2017, 0301, 344911, 345221, 347270, 345844, 10326035400
2017, 0302, 343400, 346348, 346847, 343510, 8989807700
2017, 0303, 341283, 342466, 342888, 342786, 8099465200
2017, 0306, 342590, 342725, 344903, 344648, 8307088200
2017, 0307, 344006, 344616, 345404, 345396, 8033472000
2017, 0308, 344126, 345220, 345704, 344873, 7958769000
2017, 0309, 341468, 344290, 344305, 342694, 8457038100
2017, 0310, 342394, 342398, 343624, 342789, 7001619900
2017, 0313, 341269, 342567, 345810, 345810, 9168412400
2017, 0314, 344890, 345666, 346539, 345669, 7707796300
2017, 0315, 344527, 345221, 346392, 346364, 7910495400
2017, 0316, 347227, 347227, 349213, 348151, 10633391300
2017, 0317, 344147, 348531, 348850, 344581, 10375556000
2017, 0320, 342983, 344905, 345406, 344961, 8873432200
2017, 0321, 344564, 344977, 346670, 346635, 8770785500
2017, 0322, 343350, 345075, 346433, 345005, 10493589400
2017, 0323, 343569, 345241, 347082, 346198, 9431806200
2017, 0324, 346111, 346420, 349932, 348960, 12564583300
2017, 0327, 347452, 348876, 350598, 347804, 10701537700
2017, 0328, 346147, 348025, 348229, 346981, 8419482000
2017, 0329, 345555, 347297, 348306, 346519, 10485170600
2017, 0330, 342237, 346162, 346730, 343676, 11637692200
2017, 0331, 343082, 343482, 345631, 345605, 9157749100
2017, 0405, 347515, 347642, 350454, 350389, 14339902000
2017, 0406, 349572, 350799, 351778, 351405, 13676700000
2017, 0407, 350639, 351445, 352682, 351746, 14029320000
2017, 0410, 350208, 351946, 352280, 350514, 14188738000
2017, 0411, 346614, 350383, 352013, 351733, 16594583000
2017, 0412, 349800, 351457, 352310, 350944, 18182454000
2017, 0413, 349657, 350028, 351844, 351457, 12998181300
2017, 0414, 347695, 351681, 351747, 348650, 13547408000
2017, 0417, 345368, 347574, 348057, 347994, 11716496100
2017, 0418, 346263, 347489, 348908, 346274, 11092782300
2017, 0419, 341851, 345299, 345935, 344588, 12134926400
2017, 0420, 344072, 344452, 346561, 346155, 11418420800
2017, 0421, 344954, 346139, 347556, 346679, 10441911000
2017, 0424, 340398, 345823, 345823, 343126, 11466079100
2017, 0425, 342265, 342773, 344967, 344097, 9407214800
2017, 0426, 343915, 344025, 346657, 344518, 11194002900
2017, 0427, 339954, 343510, 344927, 344672, 12329842500
2017, 0428, 341724, 343957, 343990, 343975, 10163235100
2017, 0502, 341867, 342792, 343631, 342658, 9279746200
2017, 0503, 340308, 342176, 343222, 341313, 9166962400
2017, 0504, 339128, 340494, 342140, 340439, 10348207500
2017, 0505, 336656, 339348, 339545, 338255, 10989533300
2017, 0508, 333957, 336911, 337416, 335881, 12374928700
2017, 0509, 332759, 334260, 335805, 335253, 7677166800
2017, 0510, 333600, 335065, 336943, 333770, 9208262800
2017, 0511, 331289, 332295, 335960, 335665, 10925289000
2017, 0512, 334917, 335094, 338727, 338538, 9338646600
2017, 0515, 339159, 339159, 340658, 339919, 8297761100
2017, 0516, 337355, 339093, 342885, 342865, 10524241600
2017, 0517, 340815, 342319, 343397, 340997, 9973683700
2017, 0518, 338394, 338767, 340993, 339811, 8575958900
2017, 0519, 339238, 339523, 340594, 340385, 7147352500
2017, 0522, 339117, 340059, 342418, 341124, 9253955900
2017, 0523, 340153, 340503, 343477, 342419, 11691103300
2017, 0524, 338389, 340972, 342417, 342417, 8355316100
2017, 0525, 341322, 341440, 349042, 348566, 13072163100
2017, 0526, 347304, 347962, 349831, 348043, 10324115300
2017, 0531, 347492, 349507, 351508, 349288, 10482974400
2017, 0601, 347643, 348522, 349981, 349774, 10312772400
2017, 0602, 347020, 349159, 349812, 348651, 8266801000
2017, 0605, 346231, 348017, 348412, 346875, 7973815200
2017, 0606, 346045, 346438, 349288, 349288, 6408938800
2017, 0607, 349113, 349388, 353709, 353387, 10441996800
2017, 0608, 352818, 353124, 356227, 356098, 9022490500
2017, 0609, 356063, 356124, 359089, 357617, 10118826500
2017, 0612, 356590, 357022, 360369, 357439, 9038116700
2017, 0613, 355921, 356916, 358441, 358227, 7517713800
2017, 0614, 353027, 357125, 357125, 353530, 8381078300
2017, 0615, 350895, 353075, 354228, 352879, 8263253500
2017, 0616, 351439, 352297, 353614, 351876, 7645270700
2017, 0619, 352006, 352006, 355491, 355367, 7979714100
2017, 0620, 353951, 356079, 356370, 354649, 8050955900
2017, 0621, 354557, 356713, 358799, 358796, 8785982400
2017, 0622, 358134, 358356, 363553, 359034, 13552699000
2017, 0623, 356932, 358344, 362324, 362288, 10512913400
2017, 0626, 362702, 362702, 367194, 366809, 13463800000
2017, 0627, 364876, 366558, 367653, 367472, 9755870200
2017, 0628, 364403, 366416, 367219, 364617, 9792085800
2017, 0629, 364473, 364925, 366913, 366883, 8558949800
2017, 0630, 364623, 365473, 366976, 366680, 8151002800
2017, 0703, 363378, 366723, 366760, 365085, 8882086000
2017, 0704, 361169, 364683, 364685, 361998, 9507141300
2017, 0705, 361046, 361190, 366073, 365968, 8823242500
2017, 0706, 362956, 365456, 366677, 366010, 10237924500
2017, 0707, 363187, 364764, 365711, 365593, 10373549700
2017, 0710, 364153, 364794, 366785, 365369, 12059191000
2017, 0711, 364599, 364688, 370121, 367081, 11876082600
2017, 0712, 364059, 367263, 369158, 365882, 12228779200
2017, 0713, 365257, 365635, 369048, 368692, 12566954900
2017, 0714, 367274, 368262, 370309, 370309, 10551400500
2017, 0717, 362137, 370062, 371647, 366356, 17882160000
2017, 0718, 362204, 364849, 366754, 366718, 12462205600
2017, 0719, 365820, 366087, 373105, 372975, 18247779000
2017, 0720, 372307, 372514, 375019, 374788, 14241004000
2017, 0721, 372207, 373818, 375169, 372860, 11794122600
2017, 0724, 371985, 372438, 375519, 374347, 13486872000
2017, 0725, 371328, 374264, 375216, 371956, 12167205900
2017, 0726, 368418, 372288, 373853, 370539, 13632521000
2017, 0727, 367250, 370086, 371669, 371219, 14500290000
2017, 0728, 369678, 370349, 372554, 372189, 11141139200
2017, 0731, 371366, 372243, 374652, 373787, 14842904000
2017, 0801, 373710, 373874, 377040, 377038, 15254654000
2017, 0802, 375928, 376819, 378435, 376085, 17229338000
2017, 0803, 371844, 375511, 376635, 372783, 14615394000
2017, 0804, 370700, 372472, 373873, 370758, 15747006000
2017, 0807, 368996, 370122, 373078, 372679, 12423153000
2017, 0808, 371881, 372433, 373733, 373221, 13724193000
2017, 0809, 371357, 372803, 373900, 373104, 12467998900
2017, 0810, 368818, 372496, 374686, 371592, 13008512800
2017, 0811, 364509, 368793, 370049, 364735, 15038742000
2017, 0814, 365138, 365138, 369837, 369468, 11530845100
2017, 0815, 369228, 369578, 371929, 370606, 10644485700
2017, 0816, 367973, 370113, 370714, 370142, 10413414100
2017, 0817, 370441, 370707, 372262, 372128, 10865625100
2017, 0818, 370041, 370719, 373349, 372467, 9656170500
2017, 0821, 372862, 373184, 374426, 374099, 10031307300
2017, 0822, 373456, 374575, 375829, 375230, 10029285600
2017, 0823, 374172, 374761, 377246, 375609, 10496157300
2017, 0824, 372909, 375589, 376571, 373465, 8994737200
2017, 0825, 373629, 373629, 379597, 379575, 12994090000
2017, 0828, 380566, 380566, 386694, 384271, 18557633000
2017, 0829, 382576, 383918, 384793, 383454, 12822707000
2017, 0830, 382786, 383427, 385471, 383430, 14135286000
2017, 0831, 380089, 383584, 384020, 382209, 13294493500
2017, 0901, 381816, 382534, 384362, 383054, 15864551000
2017, 0904, 381355, 382854, 384709, 384562, 14956632000
2017, 0905, 384195, 384555, 386529, 385705, 12496415500
2017, 0906, 383138, 384675, 385825, 384945, 13139872300
2017, 0907, 382884, 385169, 385816, 382987, 12388418100
2017, 0908, 381398, 383007, 384302, 382599, 10603650400
2017, 0911, 381751, 382834, 385074, 382565, 12388399700
2017, 0912, 382200, 383224, 384939, 383793, 14419024000
2017, 0913, 382294, 383555, 384778, 384261, 9541078500
2017, 0914, 382009, 384357, 385449, 382996, 11535858300
2017, 0915, 381852, 382614, 384330, 383130, 12242700600
2017, 0918, 383296, 383296, 386236, 384314, 11793440500
2017, 0919, 382029, 384988, 385730, 383212, 11243298700
2017, 0920, 382789, 383015, 385094, 384244, 10112954200
2017, 0921, 383738, 384326, 386080, 383782, 11109819200
